Article Name,Accessibility Score,Metadata Score,Search Engine Visibility Score,Sharability Score,Indexing Score,Overall Score,Website Link,Article Type,Source,Year,Keywords Used,,,,,,,,
Relative impacts of Varroa destructor (Mesostigmata: Varroidae) infestation and pesticide exposure on honey bee colony health and survival in a high-intensity corn and soybean producing region in northern Iowa,3,3,2,3,3,2.8,https://academic.oup.com/jinsectscience/article/24/3/18/7683874,Scientific article,Journal of Insect Science,2024,honey bee,farm,corn,managed pollinators,,,,,
Responding to the US national pollinator plan: a case study in Michigan,3,2,3,3,3,2.8,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/fee.2430,Scientific article,Frontiers in Ecology and the Environment,2021,honey bee,wild bees,farm,herbicides,pesticides,Minnesota,Michigan,,
"Response of insect pollinators to different cucumber, Cucumis sativus L.(Cucurbitales: Cucurbitaceae) varieties and their impact on yield",3,3,2,1,3,2.6,https://www.entomoljournal.com/archives/2015/vol3issue5/PartF/3-5-29.pdf,Scientific article,Journal of Entomology and Zoology Studies,2015,honey bee,farm,cucumber,managed pollinators,,,,,
Review of Past Literature of Honey Beekeeping and Its Production in Rural Area of the World,3,3,2,1,3,2.6,https://core.ac.uk/download/pdf/234684722.pdf,Scientific article,Food Science and Quality Management,2018,honey bee,farm,vegetable,managed pollinators,,,,,
Role of honey bee pollination in quality seed production of cauliflower for scalingup of livelihood in Vaishali district of Bihar,3,3,2,1,3,2.6,https://www.cabidigitallibrary.org/doi/pdf/10.5555/20173313676,Scientific article,Journal of AgriSearch,2016,honey bee,farm,vegetable,managed pollinators,,,,,
Role of insect pollinators in pollination of cucumber,3,3,3,1,3,2.8,https://www.researchgate.net/profile/Umer-Bin-Farook/publication/360539777_Role_of_insect_pollinators_in_pollination_of_cucumber/links/627ca4c337329433d9a9885f/Role-of-insect-pollinators-in-pollination-of-cucumber.pdf,Scientific article,The Pharma Innovation,2022,honey bee,farm,cucumber,managed pollinators,,,,,
Role of insect visits on cucumber (Cucumis sativus L.) yield,3,3,3,1,3,2.8,https://www.researchgate.net/profile/Md-Abul-Hasnat-2/publication/330558864_Role_of_insect_visits_on_cucumber_Cucumis_sativus_L_yield/links/5c4b51bb299bf12be3e30b8f/Role-of-insect-visits-on-cucumber-Cucumis-sativus-L-yield.pdf,Scientific article,Journal of Apicultural Research,2018,honey bee,farm,cucumber,managed pollinators,,,,,
Role of pollinators in vegetable seed production,3,3,2,1,3,2.6,https://www.entomoljournal.com/archives/2020/vol8issue5/PartF/8-4-421-928.pdf,Scientific article,Journal of Entomology and Zoology Studies,2020,honey bee,farm,vegetable,managed pollinators,,,,,
Row crop fields provide mid‐summer forage for honey bees,3,2,2,3,3,2.6,https://onlinelibrary.wiley.com/doi/full/10.1002/ece3.8979,Scientific article,Ecology and Evolution,2022,honey bee,farm,corn,managed pollinators,,,,,
"Seasonal diversity and abundance of insect pollinators as influenced by farming practices in cowpea and cucumber cropping systems in Kikome, Makueni County, Kenya",3,2,2,2,3,2.5,http://ir.jkuat.ac.ke/handle/123456789/5400,Non-Profit,JKUAT-AGRICULTURE,2020,honey bee,farm,cucumber,managed pollinators,,,,,
Sensitivity of commercial pumpkin yield to potential decline among different groups of pollinating bees,3,3,3,3,3,3.0,https://royalsocietypublishing.org/doi/full/10.1098/rsos.170102,Scientific article,Royal society open science,2017,honey bee,farm,pumpkin,managed pollinators,,,,,
"Significance of Honey Bee as a Pollinator in Improving Horticultural Crop Productivity in N.E. Region, India: A Review",3,3,2,1,3,2.6,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=2966b9b6929fd0866b8165ff77c5d43f592e1613,Scientific article,Asian Journal of Natural & Applied Sciences,2015,honey bee,farm,vegetable,melon,,,,,
Some Aspects of Apiculture in Minnesota,3,3,2,1,3,2.6,https://digitalcommons.morris.umn.edu/jmas/vol34/iss2/16/,Scientific article,Journal of the Minnesota Academy of Science,1967,honey bee,farm,Minnesota,managed pollinators,,,,,
Some aspects of bee attractants on Pumpkin,3,3,2,2,3,2.7,https://www.researchgate.net/publication/271208232_Some_aspects_of_bee_attractants_on_Pumpkin,Scientific article,"Journal of Chemical, Biological and Physical Sciences",2013,honey bee,farm,pumpkin,managed pollinators,,,,,
Soybean is a common nectar source for honey bees (Hymenoptera: Apidae) in a Midwestern agricultural landscape,1,2,2,3,3,1.8,https://www.sciencedirect.com/science/article/abs/pii/S0743016718303243,Scientific article,Journal of Economic Entomology,2022,honey bee,farm,Midwest,managed pollinators,,,,,
Stingless bee Tetragonula iridipennis and honey bee Apis cerana pollination in cucumber,2,3,2,2,3,2.3,https://www.indianentomology.org/index.php/ije/article/view/282,Scientific article,Indian Journal of Entomology,2022,honey bee,farm,cucumber,,,,,,
Stingless bee Tetragonula iridipennis Smith for pollination of greenhouse cucumber,3,3,3,1,3,2.8,https://www.entomoljournal.com/archives/2017/vol5issue4/PartW/5-4-300-209.pdf,Scientific article,Journal of Entomology and Zoology Studies,2017,honey bee,farm,cucumber,managed pollinators,,,,,
Stingless bees pollination increases fruit formation of strawberry (Fragaria x annanassa Duch) and Melon (Cucumis melo L.).,3,3,2,3,3,2.8,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9128655/,Scientific article,Tropical Life Sciences Research,2022,honey bee,farm,melon,managed pollinators,,,,,
Strengthen of the defense behavior in honey bee colonies (Apis mellifera L.) against varroa mite (Varroa destructor Anderson &Trueman) using volatile oils under arid regions conditions,3,3,2,2,3,2.7,https://journals.ekb.eg/article_101997.html,Scientific article,"Egyptian Academic Journal of Biological Sciences. A, Entomology",2020,honey bee,farm,garlic,managed pollinators,,,,,
Supplement Feeding to Honeybee Colony for Field Crop Pollination; Pumpkin and Honey Production in Sandbar Cropping System,1,3,2,3,3,2.0,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE07436319&nodeId=NODE07436319&medaTypeCode=185005&isPDFSizeAllowed=true&locale=ko&foreignIpYn=Y&articleTitle=Supplement+Feeding+to+Honeybee+Colony+for+Field+Crop+Pollination%3B+Pumpkin+and+Honey+Production+in+Sandbar+Cropping+System&articleTitleEn=Supplement+Feeding+to+Honeybee+Colony+for+Field+Crop+Pollination%3B+Pumpkin+and+Honey+Production+in+Sandbar+Cropping+System&language=ko_KR&hasTopBanner=true,Scientific article,Journal of Apiculture,2018,honey bee,farm,pumpkin,managed pollinators,,,,,
"Survey of glyphosate residues in honey, corn and soy products",3,3,2,2,3,2.7,https://rounduprisks.com/wp-content/uploads/2016/04/survey-of-glyphosate-residues-in-honey-corn-and-soy-products-2161-0525.1000249.pdf,Scientific article,Journal of Environmental Anal. Toxicol,2014,honey bee,farm,corn,managed pollinators,,,,,
"Survey of native and honey bees from agricultural Brentwood and their constructed bee gardens in Northern California, 2010-2018",1,3,2,2,3,1.9,https://www.jstor.org/stable/27074651,Scientific article,Journal of the Kansas Entomological Society,2018,honey bee,farm,vegetable,managed pollinators,,,,,
Technological Development in the Use of Allium sativum Aqueous Extracts in the Agricultural Field,3,3,2,3,3,2.8,https://www.intechopen.com/chapters/86281,Government,Book: Organic Fertilizers - New Advances and Applications,2023,honey bee,farm,garlic,managed pollinators,,,,,
Territorial biodiversity and consequences on physico-chemical characteristics of pollen collected by honey bee colonies,3,3,2,2,3,2.7,https://link.springer.com/article/10.1007/s13592-012-0125-1,Scientific article,Apidologie,2012,honey bee,farm,weed,managed pollinators,,,,,
The contribution of land cover change to the decline of honey yields in the Northern Great Plains,3,2,3,3,3,2.8,https://iopscience.iop.org/article/10.1088/1748-9326/abfde8/meta,Scientific article,Environmental Research Letters,2021,honey bee,farm,corn,Midwest,,,,,
The honey bee crisis,1,3,2,3,3,2.0,https://www.ingentaconnect.com/content/resinf/opm/2012/00000023/00000001/art00010,Scientific article,Outlooks on Pest Management,2012,honey bee,farm,vegetable,managed pollinators,,,,,
The honeybee and agricultural chemicals,1,2,2,3,3,1.8,https://www.tandfonline.com/doi/pdf/10.1080/0005772X.1950.11094639,Scientific article,Bee World,1950,honey bee,farm,weed,managed pollinators,,,,,
The influence of mid-continent agricultural land use on the health and survival of commercially managed honey bee (Apis mellifera L.) colonies,3,2,3,3,3,2.8,https://www.proquest.com/docview/1667470171?pq-origsite=gscholar&fromopenview=true,Educational Institution,University of Minnesota,2015,honey bee,farm,Minnesota,Midwest,,,,,
The influence of spatiotemporally decoupled land use on honey bee colony health and pollination service delivery,3,2,2,3,3,2.6,https://iopscience.iop.org/article/10.1088/1748-9326/aad4eb/meta,Scientific article,Environmental Research Letters,2018,honey bee,farm,Midwest,managed pollinators,,,,,
The movement of honey bee colonies for crop pollination and honey production by beekeepers in Great Britain,1,2,2,3,3,1.8,https://www.tandfonline.com/doi/abs/10.1080/0005772X.1997.11099337,Scientific article,Bee World,1997,honey bee,farm,seed,managed pollinators,,,,,
"The need for weeds: Man-made, non-cropped habitats complement crops and natural habitats in providing honey bees and bumble bees with pollen resources.",3,3,2,3,3,2.8,https://www.sciencedirect.com/science/article/pii/S0048969722036488,Scientific article,Science of the Total Environment,2022,honey bee,farm,weed,managed pollinators,,,,,
The puzzle of honey bee losses: a brief review,3,3,2,2,3,2.7,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=6d735e7b9a0b34472390e98a3a629da9f8c2bc31,Scientific article,Bulletin of Insectology,2010,honey bee,farm,seed,managed pollinators,,,,,
The role of annual flowering plant strips on a melon crop in central Spain. Influence on pollinators and crop,3,3,3,3,3,3.0,https://www.mdpi.com/2075-4450/11/1/66,Scientific article,Insects,2020,honey bee,farm,melon,managed pollinators,,,,,
The toxicology of honey bee poisoning,3,2,2,1,3,2.4,https://www.researchgate.net/profile/Maria-Stefanidou/publication/9076531_The_toxicology_of_honey_bee_poisoning/links/5e94254092851c2f529bf8fe/The-toxicology-of-honey-bee-poisoning.pdf,Scientific article,Veterinary and human toxicology,2003,honey bee,farm,weed,managed pollinators,,,,,
The use of medicinal aromatic plants against bee diseases and pests,3,3,2,2,3,2.7,https://dergipark.org.tr/en/pub/bst/issue/56349/724879,Scientific article,Bee Studies,2020,honey bee,farm,garlic,managed pollinators,,,,,
The Value of Honey Bees As Pollinators of U.S. Crops in 2000,3,2,2,1,3,2.4,https://bp-dc.org/assets/media/documents/pollinators/documents/ValueofHoneyBeesasPollinators-2000Report.pdf,Scientific article,Bee culture,2000,honey bee,farm,vegetable,managed pollinators,,,,,
Think yellow and keep green—role of sulfanes from garlic in agriculture,3,3,3,3,3,3.0,https://www.mdpi.com/2076-3921/6/1/3,Scientific article,Antioxidants,2016,honey bee,farm,garlic,managed pollinators,,,,,
Toxicity of neonicotinoids used in melon culture towards Apis mellifera L,3,3,3,1,3,2.8,https://academicjournals.org/journal/AJAR/article-full-text/30014E063619,Scientific article,African Journal of Agricultural Research,2017,honey bee,farm,melon,toxic,,,,,
Use of environmentally safe preventive remedy against ascospherosis,3,3,2,3,3,2.8,https://academic.oup.com/jinsectscience/article/15/1/137/2583443,Scientific article,Journal of Insect Science,2020,honey bee,farm,garlic,managed pollinators,,,,,
Use of honey bees in alfalfa seed production,3,1,2,1,3,2.2,https://books.google.com/books?hl=en&lr=&id=AK--gSe7NAIC&oi=fnd&pg=PA5&dq=honey+bee+farm+seed&ots=wms65riJ1d&sig=fnHMxS2Lb8bKNvsjHJ6BNoTTbpM#v=onepage&q=honey%20bee%20farm%20seed&f=false,Government,USDA,1951,honey bee,farm,seed,managed pollinators,,,,,
Using honey bee as bioindicator of chemicals in Campanian agroecosystems (South Italy),3,3,2,1,3,2.6,https://www.researchgate.net/profile/Emilio-Caprio/publication/285569243_Using_honey_bee_as_bioindicator_of_chemicals_in_Campanian_agroecosystems_South_Italy/links/568d473108aead3f42ed94a0/Using-honey-bee-as-bioindicator-of-chemicals-in-Campanian-agroecosystems-South-Italy.pdf,Scientific article,Bulletin of Insectology,2014,honey bee,farm,vegetable,managed pollinators,,,,,
Visits of honeybees (Hymenoptera: Apidae) and their effects on cucumber yields in the field,1,3,2,3,3,2.0,https://academic.oup.com/jee/article-abstract/92/2/435/2217010,Scientific article,Journal of Economic Entomology,1999,honey bee,farm,cucumber,managed pollinators,,,,,
WEED MANAGEMENT IMPACTS ON WILD BEES IN AGROECOSYSTEMS,3,2,2,2,3,2.5,https://uknowledge.uky.edu/entomology_etds/87/,Educational Institution,University of Kentucky,,honey bee,farm,weed,managed pollinators,,,,,
Weed-insect pollinator networks as bio-indicators of ecological sustainability in agriculture. A review.,3,3,3,2,3,2.9,https://link.springer.com/article/10.1007/s13593-015-0342-x,Scientific article,Agronomy for sustainable development,2016,honey bee,farm,weed,managed pollinators,,,,,
Where have all the flowers gone? Honey bee declines and exclusions from floral resources,1,2,2,3,3,1.8,https://www.sciencedirect.com/science/article/pii/S0743016718303243,Scientific article,Journal of Rural Studies,2019,honey bee,farm,Minnesota,Midwest,,,,,
Widespread Occurrence of Chemical Residues in Beehive Matrices from Apiaries Located in Different Landscapes of Western France,3,2,2,3,3,2.6,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0067007,Scientific article,PLOS one,2013,honey bee,farm,vegetable,managed pollinators,,,,,
"Wild bee abundance and seed production in conventional, organic, and genetically modified canol",1,2,3,2,3,1.9,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/03-5271,Scientific article,Ecological Applications,2005,honey bee,farm,seed,managed pollinators,,,,,
"Wild bee and honey bee response to crop production, farm diversity, and native habitat in an agricultural landscape",3,3,2,2,3,2.7,https://www.proquest.com/docview/2362261420?pq-origsite=gscholar&fromopenview=true&sourcetype=Dissertations%20&%20Theses,Educational Institution,Iowa State University,2019,honey bee,farm,Midwest,managed pollinators,,,,,
Wild Bee Visitation Rates Exceed Pollination Thresholds in Commercial Cucurbita Agroecosystems,1,3,2,3,3,2.0,https://academic.oup.com/jee/article/113/2/562/5653961,Scientific article,Journal of Economic Entomology,2019,honey bee,farm,pumpkin,managed pollinators,,,,,
Wild Bees Visiting Cucumber on Midwestern U.S. Organic Farms Benefit From Near-Farm Semi-Natural Areas,3,3,3,3,3,3.0,https://academic.oup.com/jee/article/106/1/97/839515,Scientific article,Journal of Economic Entomology,2013,honey bee,solitary bees,wild bees,farm,vegetable,fruit,farm,cucumber,Midwest
"Wild, native bees and managed honey bees benefit from similar agricultural land uses",1,2,3,3,3,2.0,https://www.sciencedirect.com/science/article/abs/pii/S0167880918303955,Scientific article,"Agriculture, Ecosystems & Environment",2018,honey bee,wild bees,farm,farm,Midwest,,,,
Wintering of bees in Minnesota,1,3,2,3,3,2.0,https://academic.oup.com/jee/article-abstract/51/3/332/2206496,Scientific article,Journal of Economic Entomology,1958,honey bee,farm,Minnesota,managed pollinators,,,,,
Cosmetic and Medicinal Use of Bee’s Honey: A Review,3,3,2,3,3,2.8,https://theagricultureonline.com/wp-content/uploads/2022/12/August-2022-issue.pdf#page=91,Government,A Monthly Peer Reviewed Magazine for Agriculture and Allied Sciences,2022,honey bee farm article review,,,,,,,,
Efficacy of alternative sweet corn pest control agents and their impact on honey bees,3,3,2,2,3,2.7,https://atrium.lib.uoguelph.ca/items/220feb03-383d-4624-982f-d7d2bc87428c,Government,Dissertation,2004,honey bee farm corn pest,,,,,,,,
Farm management for native bees,2,1,2,1,2,1.7,https://www.cheswildlife.org/wp-content/uploads/2014/09/FarmManagementforNativeBees-AGuideforDelaware1.pdf,Educational Institution,Delaware Deprtment of Agriculture,2007,honey bee farm crannberry,,,,,,,,
HONEY BEES AND THE PRODUCTION OF CUCUMBERS IN QUEBEC (CANADA),1,3,2,2,3,1.9,https://www.actahort.org/books/437/437_51.htm,Scientific article,Acta Horticulturae ,1996,honey bee farm cucumber,,,,,,,,
Bee health: background and issues for congress,3,1,3,1,3,2.4,https://www.nationalaglawcenter.org/wp-content/uploads/assets/crs/R43191.pdf,Educational Institution,Congressional Research Service,2014,honey bee farm health corn,,,,,,,,
Relevance of wild and managed bees for human well-being,1,2,2,3,3,1.8,https://www.sciencedirect.com/science/article/abs/pii/S2214574517300822,Scientific article,Current Opinion in Insect Science,2018,honey bee farm important,,,,,,,,
Bee health: the role of pesticides,3,1,3,1,3,2.4,https://nationalaglawcenter.org/wp-content/uploads/assets/crs/R43900.pdf,Educational Institution,Congressional Research Service,2015,honey bee farm pesticides corn,,,,,,,,
Can Pumpkin Yield Be Increased by Supplementing Fields with Honey Bees or Bumble Bees?,3,1,3,1,3,2.4,https://www.researchgate.net/profile/Jessica-Petersen-4/publication/235643782_Can_Pumpkin_Yield_Be_Increased_by_Supplementing_Fields_with_Honey_Bees_or_Bumble_Bees/links/02bfe5123c6933f5fe000000/Can-Pumpkin-Yield-Be-Increased-by-Supplementing-Fields-with-Honey-Bees-or-Bumble-Bees.pdf,Educational Institution,Cornell University,NA,honey bee farm pumpkin,,,,,,,,
The role of honey bees (Apis mellifera) in eucalypt and acacia seed production areas,1,3,2,2,3,1.9,https://login.umn.edu/idp/profile/SAML2/POST/SSO,Educational Institution,Commonwealth Forestry Review,1995,honey bee farm seeds,,,,,,,,
Western honey bee management for crop pollination,3,3,3,2,3,2.9,https://www.bioline.org.br/pdf?cs18001,Scientific article,African Crop Science Journal,2018,honey bee farm vegetable western,,,,,,,,
Economically important foreign weeds: potential problems in the United States,3,3,3,1,3,2.8,https://books.google.com/books?hl=en&lr=&id=YXbaT8XMm4YC&oi=fnd&pg=PA1&dq=honey+bee+farm+weed&ots=yubsjqTYxm&sig=z1mTEAEwbFQxLnXfblBkmlezlpY#v=onepage&q=honey%20bee%20farm%20weed&f=false,Government,"Agricultural Research Service, US Department of Agriculture",1976,honey bee farm weed foreign,,,,,,,,
10 facts about honey bees!,3,1,2,1,2,2.1,https://www.natgeokids.com/au/discover/animals/insects/honey-bees/,Non-Profit,National Geographic Kids,NA,Honey bees,managed pollinators,,,,,,,
"About Honey Bees - Types, Races, and Anatomy",3,1,2,1,2,2.1,https://www.uaex.uada.edu/farm-ranch/special-programs/beekeeping/about-honey-bees.aspx,Educational Institution,University of Arkansas Cooperative Extension Service,NA,Honey bees,managed pollinators,,,,,,,
Are honey bees native to North America?,3,1,2,1,2,2.1,https://www.usgs.gov/faqs/are-honey-bees-native-north-america,Government,USGS,NA,Honey bees,managed pollinators,,,,,,,
"Are honey bees, wild bees, still in trouble?",3,1,2,3,2,2.3,https://news.illinois.edu/view/6367/787572990,Educational Institution,University of Illinois Urbana-Champaign,2023,Honey bees,managed pollinators,,,,,,,
Bee Jewelry that helps save bees,3,1,2,1,2,2.1,https://projecthoneybees.com/,Non-Profit,Project Honey Bees,NA,Honey bees,managed pollinators,,,,,,,
Beekeeping - Honey Bees,3,1,1,3,2,2.1,https://extension.psu.edu/beekeeping-honey-bees,Educational Institution,PennState Extension,2024,Honey bees,managed pollinators,,,,,,,
Beekeeping in Minnesota (revised June 1948),3,1,2,1,3,2.2,https://conservancy.umn.edu/items/7d17db41-66ff-486a-90da-8205f1e4d89e,Educational Institution,UMN Extension,1948,Honey bees,managed pollinators,,,,,,,
Beekeeping in Minnesota (revised June 1962),3,1,2,1,3,2.2,https://conservancy.umn.edu/items/74cdef38-f9a5-4f71-8ebc-82aeae6b2fd2,Educational Institution,UMN Extension,1962,Honey bees,managed pollinators,,,,,,,
Density of invasive western honey bee (Apis mellifera) colonies in fragmented woodlands indicates potential for large impacts on native species,3,2,2,2,3,2.5,https://www.nature.com/articles/s41598-022-07635-0,Scientific article,Nature,2022,Honey bees,managed pollinators,,,,,,,
Episode 7: Saving the Bees: Why Honey Bees Are Not the Answer,3,1,2,3,2,2.3,https://www.youtube.com/watch?v=SM2AEONmnDQ,Non-Profit,Xerxes Society,2023,Honey bees,managed pollinators,,,,,,,
"Habits and activities of bees (revised and reprinted October, 1928)",2,2,2,2,3,2.1,https://conservancy.umn.edu/items/756eda49-43cc-4f59-bffc-5867edd0d2f0,Educational Institution,UMN Extension,1928,Honey bees,managed pollinators,,,,,,,
Honey Bee,3,1,1,1,2,1.9,https://australian.museum/learn/animals/insects/honey-bee/,Government,Australian Museum,NA,Honey bees,managed pollinators,,,,,,,
honey bee,3,1,1,1,2,1.9,https://dnr.illinois.gov/education/wildaboutpages/wildaboutinvertebrates/wildaboutnativebees/family-apidae/wabwhoneybee.html,Government,Illinois Department of Natural Resources,NA,Honey bees,managed pollinators,,,,,,,
Honey bee facts and information,3,1,1,1,2,1.9,https://www.orkin.com/pests/stinging-pests/bees/honey-bees,For-Profit,Orkin,NA,Honey bees,managed pollinators,,,,,,,
Honey Bee Nutrition,3,1,2,2,3,2.3,https://www.annualreviews.org/content/journals/10.1146/annurev.en.15.010170.001043,Scientific article,Annual Review of Entomology,1970,Honey bees,managed pollinators,,,,,,,
Honey Bee Pathology,3,1,2,2,3,2.3,https://www.annualreviews.org/content/journals/10.1146/annurev.en.13.010168.001203,Scientific article,Annual Review of Entomology,1968,Honey bees,managed pollinators,,,,,,,
Honey Bee Toxicology,3,3,2,2,3,2.7,https://www.annualreviews.org/content/journals/10.1146/annurev-ento-011613-162005,Scientific article,Annual Review of Entomology,2015,Honey bees,managed pollinators,,,,,,,
Honey Bees,3,3,3,3,3,3.0,https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/honey-bees,Scientific article,Ecological Indicators,2022,Honey bees,managed pollinators,,,,,,,
Honey bees,3,1,2,2,2,2.2,https://www.usda.gov/peoples-garden/pollinators/honey-bees,Government,USDA,NA,Honey bees,managed pollinators,,,,,,,
Honey bees + pollinators,3,1,2,1,2,2.1,https://bees.wsu.edu/,Educational Institution,Washinton State University,NA,Honey bees,managed pollinators,,,,,,,
Honey Bees in and Around Buildings,3,1,2,3,2,2.3,https://austin.agrilife.org/agriculture/pests/honey-bees-in-the-home/,Government,Extension education in Austin County,NA,Honey bees,managed pollinators,,,,,,,
honeybee,3,1,1,3,3,2.2,https://www.britannica.com/animal/honeybee,For-Profit,Britannica,NA,Honey bees,managed pollinators,,,,,,,
Honeybee,3,2,1,1,2,2.1,https://kids.nationalgeographic.com/animals/invertebrates/facts/honeybee,Non-Profit,National Geographic Kids,NA,Honey bees,managed pollinators,,,,,,,
Honeybee,3,1,2,1,2,2.1,https://en.wikipedia.org/wiki/Honey_bee,Non-Profit,Wikipedia,2024,Honey bees,managed pollinators,,,,,,,
Honeybees,3,1,1,1,2,1.9,https://agr.mt.gov/Topics/A-D/Bees/Honeybees,Educational Institution,Montana Department of Agriculture,NA,Honey bees,managed pollinators,,,,,,,
HoneyBees,3,2,1,1,3,2.2,https://honeybeenet.gsfc.nasa.gov/Honeybees.htm,Government,NASA Goddard Space Flight Center,2024,Honey bees,managed pollinators,,,,,,,
Honeybees 101 for vertinarians,3,1,2,2,2,2.2,https://www.avma.org/resources-tools/one-health/antimicrobial-use-and-antimicrobial-resistance/honeybees-101-veterinarians,Scientific article,American Vetrinary Association,NA,Honey bees,managed pollinators,,,,,,,
Increased resin collection after parasite challenge: a case of self-medication in honey bees?,3,2,2,3,3,2.6,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0034601,Scientific article,PLOS one,2012,Honey bees,managed pollinators,,,,,,,
Linking measures of colony and individual honey bee health to survival among apiaries exposed to varying agricultural land use,3,2,2,3,3,2.6,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0152685,Scientific article,PLOS one,2016,Honey bees,managed pollinators,,,,,,,
"Minnesota Science, Vol. 31, No. 2",2,2,2,2,2,2.0,https://conservancy.umn.edu/items/ace5622c-b0bf-4597-a972-f62663f14580,Educational Institution,UMN Ag Exp Stations,1975,Honey bees,farm,managed pollinators,,,,,,
National Honey Bee Surveys,3,1,2,1,2,2.1,https://www.aphis.usda.gov/plant-pests-diseases/honey-bee-surveys,Government,USDA APHIS,2024,Honey bees,managed pollinators,,,,,,,
Physiological and behavioral changes in honey bees (Apis mellifera) induced by Nosema ceranae infection,3,2,2,3,3,2.6,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0058165,Scientific article,PLOS one,2013,Honey bees,managed pollinators,,,,,,,
Propolis counteracts some threats to honey bee health,3,3,2,2,2,2.6,https://conservancy.umn.edu/items/e2ddb9ff-df00-49eb-a895-367ae2b46f59,Scientific article,Insects,2017,Honey bees,managed pollinators,,,,,,,
Red clover in Minnesota,2,2,2,2,2,2.0,https://conservancy.umn.edu/items/f52d1348-5bf7-4304-a779-a0ddf637b44a,Educational Institution,UMN Extension,1967,Honey bees,farm,managed pollinators,,,,,,
Saving the bees: Why honey bees are not the answer,3,1,2,1,2,2.1,https://www.xerces.org/bug-banter/saving-bees-why-honey-bees-are-not-answer,Non-Profit,Xerces Society,2023,Honey bees,managed pollinators,,,,,,,
"Source, Fall-Winter 2014",3,1,2,2,2,2.2,https://conservancy.umn.edu/items/2f464e31-69a7-4290-a317-5201ae4b8776,Educational Institution,UMN Extension,2014,Honey bees,farm,managed pollinators,,,,,,
Texas A&M Honey Bee Lab,3,1,2,1,2,2.1,https://honeybeelab.tamu.edu/,Educational Institution,Texas A&M,NA,Honey bees,managed pollinators,,,,,,,
The Biology of the Honey bee,3,1,2,1,3,2.2,https://books.google.com/books?hl=en&lr=&id=a8fmEAAAQBAJ&oi=fnd&pg=PA1&dq=%22honey+bee%22&ots=GFKhAGxCTi&sig=d0-xFY_yzALE37WgfxhVnWBHqnA#v=onepage&q=%22honey%20bee%22&f=false,Government,Harvard University Press,1987,Honey bees,managed pollinators,,,,,,,
The conservation of native honey bees is crucial,1,3,3,3,3,2.2,https://pubmed.ncbi.nlm.nih.gov/31072605/,Scientific article,Trends Ecol Evol,2019,Honey bees,managed pollinators,,,,,,,
The embryology of the honey bee,3,1,2,1,3,2.2,https://books.google.com/books?hl=en&lr=&id=PZhlAAAAMAAJ&oi=fnd&pg=PA1&dq=%22honey+bee%22&ots=PQWVA2C4XY&sig=r00RPxZuWkLRjiYGEmR2jMVDsYA#v=onepage&q=%22honey%20bee%22&f=false,Educational Institution,Princeton University Press,1915,Honey bees,managed pollinators,,,,,,,
The Honey Bee Colony as a Superorganism,1,2,2,2,3,1.7,https://www-jstor-org.ezp1.lib.umn.edu/stable/27856005,Scientific article,American Scientist,1989,Honey bees,managed pollinators,,,,,,,
The honey bee.,1,3,2,3,3,2.0,https://www.cabidigitallibrary.org/doi/full/10.5555/19890227051,For-Profit,Scientific American Library,1988,Honey bees,managed pollinators,,,,,,,
The Problem with Honey Bees,3,1,2,1,2,2.1,https://www.scientificamerican.com/article/the-problem-with-honey-bees/,For-Profit,Scientific American,2020,Honey bees,managed pollinators,,,,,,,
The Truth About Honey Bees,3,1,,1,2,1.7,https://www.nwf.org/Magazines/National-Wildlife/2021/June-July/Gardening/Honey-Bees,Non-Profit,National Wildlife Federation,2021,Honey bees,managed pollinators,,,,,,,
Vol.XV No.2 Honey Bees Increase Alsike Clover Seed Yields,2,2,2,2,2,2.0,https://conservancy.umn.edu/items/656a1391-c9b5-4f4e-ac57-15112fb5bec7,Educational Institution,UMN Ag Exp Stations,1958,Honey bees,farm,managed pollinators,,,,,,
"Want To Save The Bees? Focus On Habitat, Not Honey Bees",3,1,2,3,2,2.3,https://xerces.org/blog/want-to-save-bees-focus-on-habitat-not-honey-bees,Non-Profit,Xerces Society,2023,Honey bees,managed pollinators,,,,,,,
Why bees are essential to people and planet,3,1,2,1,2,2.1,https://www.unep.org/news-and-stories/story/why-bees-are-essential-people-and-planet,Non-Profit,UN environment programme,NA,Honey bees,managed pollinators,,,,,,,
Honey bee viruses,3,3,2,3,3,2.8,https://doi.org/10.1016/S0065-3527(07)70002-7,Scientific article,Advances in virus research,2007,Honey bees disease,,,,,,,,
Wildflower plantings on fruit farms provide pollen resources and increase nesting by stem nesting bees.,1,1,3,3,3,1.8,https://www.cabidigitallibrary.org/doi/full/10.5555/20210136785,Scientific article,Agricultural and Forest Entomology,2021,Honey bees farm pollen fruit,,,,,,,,
